Iteration,Accuracy,MacroPrecision,MacroRecall,MacroF1,ArterialPrecision,PortalVenousPrecision,PreContrastPrecision,ArterialRecall,PortalVenousRecall,PreContrastRecall,ArterialF1,PortalVenousF1,PreContrastF1,WeightedPrecision,WeightedRecall,WeightedF1,BalancedAccuracy,CohensKappa,Phase1_Count,Phase1_Accuracy,Phase2_Count,Phase2_Accuracy,Phase3_Count,Phase3_Accuracy,AortaMultiplier,PortalVeinMultiplier,AortaCutoff,PortalVeinCutoff,BoundaryHits,TrainArterial,TrainPortalVenous,TrainPreContrast,TestArterial,TestPortalVenous,TestPreContrast
51,0.950819672131147,0.951902905411677,0.936825200831992,0.944303870511474,0.964285714285714,0.921052631578947,0.97037037037037,0.870967741935484,0.954545454545455,0.984962406015038,0.915254237288136,0.9375,0.977611940298507,0.951346763995599,0.950819672131148,0.950469346792019,0.936825200831992,0.922533780351519,45,0.977777777777778,116,0.956896551724138,144,0.9375,0.94,0.0900000000000001,157.02,93.32,0,346,568,512,124,220,266
52,0.977049180327869,0.981912144702842,0.968854795439303,0.975339770753055,1,0.945736434108527,1,0.915492957746479,1,0.991071428571429,0.955882352941176,0.972111553784861,0.995515695067265,0.978294573643411,0.977049180327869,0.976927916288886,0.968854795439303,0.964558432934927,56,1,117,0.991452991452991,132,0.954545454545455,0.86,0.13,157.72,97.325,0,328,544,554,142,244,224
53,0.970491803278689,0.972323624361242,0.957997613296526,0.965107458093504,0.982758620689655,0.942148760330578,0.992063492063492,0.890625,0.991304347826087,0.992063492063492,0.934426229508197,0.966101694915254,0.992063492063492,0.971290685777556,0.970491803278689,0.970180241323865,0.957997613296526,0.95388259803098,51,0.980392156862745,114,0.982456140350877,140,0.957142857142857,1.05,0.1,157.75,97.175,0,342,558,526,128,230,252
54,0.954098360655738,0.960345811051693,0.921981721981722,0.940772813480018,0.977272727272727,0.911764705882353,0.992,0.781818181818182,0.984126984126984,1,0.868686868686869,0.946564885496183,0.995983935742972,0.956197878495661,0.954098360655738,0.9526129881391,0.921981721981722,0.926339940312926,38,1,122,0.967213114754098,145,0.931034482758621,0.97,0.13,156.965,100.26,0,360,536,530,110,252,248
55,0.960655737704918,0.970149253731343,0.940764884832682,0.955231145699642,1,0.91044776119403,1,0.830769230769231,1,0.991525423728814,0.907563025210084,0.953125,0.995744680851064,0.964179104477612,0.960655737704918,0.959903996652725,0.940764884832682,0.938343356749381,46,1,127,0.976377952755906,132,0.931818181818182,1.04,0.03,157.3,94.06,0,340,544,542,130,244,236
56,0.960655737704918,0.96263518277816,0.950307553166398,0.956431646330593,0.96969696969697,0.926829268292683,0.991379310344828,0.876712328767123,0.991304347826087,0.982905982905983,0.920863309352518,0.957983193277311,0.987124463519313,0.961851226071745,0.960655737704918,0.960277544397981,0.950307553166398,0.939494131261366,57,0.982456140350877,116,0.96551724137931,132,0.946969696969697,0.96,0.04,157.14,93.08,0,324,558,544,146,230,234
57,0.967213114754098,0.970106395465247,0.960601266669879,0.965330433565396,0.985714285714286,0.942148760330578,0.982456140350877,0.907894736842105,0.982758620689655,0.991150442477876,0.945205479452055,0.962025316455696,0.986784140969163,0.967937986138629,0.967213114754098,0.967007085497483,0.960601266669879,0.949824798065376,62,0.983870967741935,111,0.990990990990991,132,0.939393939393939,0.96,0.12,157.72,97.33,0,318,556,552,152,232,226
58,0.977049180327869,0.979720704310868,0.967132867132867,0.973386090918945,0.983606557377049,0.955555555555556,1,0.909090909090909,0.992307692307692,1,0.94488188976378,0.973584905660377,1,0.977509032816746,0.977049180327869,0.976813909705766,0.967132867132867,0.964158608648939,52,1,132,0.96969696969697,121,0.975206611570248,0.93,0.0900000000000001,157.725,97.3425,0,338,528,560,132,260,218
59,0.970491803278689,0.972648029332521,0.962905706973504,0.967752349886439,0.984615384615385,0.966386554621849,0.966942148760331,0.914285714285714,0.982905982905983,0.991525423728814,0.948148148148148,0.974576271186441,0.97907949790795,0.970785171696893,0.970491803278689,0.970253032302695,0.962905706973504,0.954457975246375,54,1,127,0.968503937007874,124,0.959677419354839,0.85,-0.11,166.85,86.4175,0,330,554,542,140,234,236
60,0.967213114754098,0.96924510458389,0.96223219445861,0.965725918098403,0.985714285714286,0.953271028037383,0.96875,0.932432432432432,0.962264150943396,0.992,0.958333333333333,0.957746478873239,0.980237154150198,0.967486347917442,0.967213114754098,0.967106353101655,0.96223219445861,0.949589276564798,56,1,115,0.956521739130435,134,0.962686567164179,1.02,-0.0900000000000001,157.86,86.1175,0,322,576,528,148,212,250
61,0.950819672131147,0.958156028368794,0.933983855352877,0.945915541556361,0.966666666666667,0.907801418439716,1,0.828571428571429,0.992248062015504,0.981132075471698,0.892307692307692,0.948148148148148,0.990476190476191,0.953354261132426,0.950819672131147,0.950043035288937,0.933983855352877,0.923253707307254,52,0.980769230769231,133,0.954887218045113,120,0.933333333333333,0.95,0.0800000000000001,157.9875,97.1,0,330,530,566,140,258,212
62,0.970491803278689,0.972741184855981,0.964050646322294,0.968376418021358,0.985294117647059,0.959016393442623,0.973913043478261,0.917808219178082,0.983193277310924,0.991150442477876,0.950354609929078,0.970954356846473,0.982456140350877,0.970824902691642,0.970491803278688,0.970285242128532,0.964050646322294,0.954664068177314,54,1,130,0.961538461538462,121,0.966942148760331,1.01,-0.27,157.9,83.23,0,324,550,552,146,238,226
